,names,y_pred,model
0,A,0,dslim/bert-base-NER
1,Aadam,1,dslim/bert-base-NER
2,Aadhav,1,dslim/bert-base-NER
3,Aadi,1,dslim/bert-base-NER
4,Aahan,1,dslim/bert-base-NER
5,Aahil,1,dslim/bert-base-NER
6,Aajay,1,dslim/bert-base-NER
7,Aamir,1,dslim/bert-base-NER
8,Aarav,1,dslim/bert-base-NER
9,Aarib,1,dslim/bert-base-NER
10,Aarin,1,dslim/bert-base-NER
11,Aariz,1,dslim/bert-base-NER
12,Aaron,1,dslim/bert-base-NER
13,Aarun,1,dslim/bert-base-NER
14,Aarush,1,dslim/bert-base-NER
15,Aaryan,1,dslim/bert-base-NER
16,Aayan,1,dslim/bert-base-NER
17,Aayush,1,dslim/bert-base-NER
18,Abbas,1,dslim/bert-base-NER
19,Abdalla,1,dslim/bert-base-NER
20,Abdallah,1,dslim/bert-base-NER
21,Abdirahman,1,dslim/bert-base-NER
22,Abdul,1,dslim/bert-base-NER
23,Abdul-Kareem,1,dslim/bert-base-NER
24,Abdul-Rahman,1,dslim/bert-base-NER
25,Abdulahad,1,dslim/bert-base-NER
26,Abdulaziz,1,dslim/bert-base-NER
27,Abdulkadir,1,dslim/bert-base-NER
28,Abdullah,1,dslim/bert-base-NER
29,Abdulmalik,1,dslim/bert-base-NER
30,Abdulrahman,1,dslim/bert-base-NER
31,Abdulwahab,1,dslim/bert-base-NER
32,Abdurrahim,1,dslim/bert-base-NER
33,Abel,1,dslim/bert-base-NER
34,Abhimanyu,1,dslim/bert-base-NER
35,Abie,1,dslim/bert-base-NER
36,Abraham,1,dslim/bert-base-NER
37,Abrahim,1,dslim/bert-base-NER
38,Abu,0,dslim/bert-base-NER
39,Abu-Bakr,1,dslim/bert-base-NER
40,Abubakr,1,dslim/bert-base-NER
41,Ace,1,dslim/bert-base-NER
42,Acer,1,dslim/bert-base-NER
43,Adam,1,dslim/bert-base-NER
44,Adamas,1,dslim/bert-base-NER
45,Adas,1,dslim/bert-base-NER
46,Addison,1,dslim/bert-base-NER
47,Adel,1,dslim/bert-base-NER
48,Adem,0,dslim/bert-base-NER
49,Adham,1,dslim/bert-base-NER
50,Adhrit,1,dslim/bert-base-NER
51,Adil,1,dslim/bert-base-NER
52,Adnan,1,dslim/bert-base-NER
53,Adomas,1,dslim/bert-base-NER
54,Adrian,1,dslim/bert-base-NER
55,Adriano,1,dslim/bert-base-NER
56,Adriel,1,dslim/bert-base-NER
